VName,Filter,HJD,mag_s,mag_i,e_mag_i,Fref,e_Fref,DFlux,e_DFlux,p
"V1 ",V,2456147.8265,15.315,14.429,0.006,2.3097905E7,9955.0,-6167.21,95470.0,0.9971
"V1 ",V,2456147.82834,15.311,14.425,0.006,2.3097905E7,9955.0,-6122.58,94010.0,0.9999
"V1 ",V,2456147.82887,15.309,14.424,0.006,2.3097905E7,9955.0,-6082.335,92000.0,0.9977
"V1 ",V,2456147.83069,15.314,14.429,0.006,2.3097905E7,9955.0,-6163.755,92400.0,0.9985
"V1 ",V,2456147.83122,15.324,14.438,0.006,2.3097905E7,9955.0,-6298.515,92930.0,0.996
"V1 ",V,2456147.83351,15.323,14.438,0.01,2.3097905E7,9955.0,-3141.08,75270.0,0.4972
"V1 ",V,2456147.83392,15.348,14.463,0.009,2.3097905E7,9955.0,-3330.18,68165.0,0.497
"V1 ",V,2456147.8354,15.323,14.438,0.009,2.3097905E7,9955.0,-3121.08,68295.0,0.4945
"V1 ",V,2456147.8358,15.34,14.455,0.009,2.3097905E7,9955.0,-3273.415,67965.0,0.4971
"V1 ",V,2456147.83727,15.317,14.431,0.009,2.3097905E7,9955.0,-3084.245,67775.0,0.4963
"V1 ",V,2456147.83768,15.33,14.445,0.009,2.3097905E7,9955.0,-3189.345,69745.0,0.4963
