Time,CRate,e_CRate
11158.6520000361,0.0,0.0
11168.6519998591,0.5,0.2236068
11178.6519996822,0.2,0.14142135
11188.6519995052,0.2,0.14142135
11198.6519999569,0.2,0.14142135
11208.65199978,0.30000001,0.17320508
11218.651999603,0.30000001,0.17320508
11228.6520000547,0.2,0.14142135
11238.6519998778,0.40000001,0.2
11248.6519997008,0.5,0.2236068
11258.6519995239,0.30000001,0.17320508
11268.6519999756,0.30000001,0.17320508
11278.6519997986,0.5,0.2236068
11288.6519996217,0.2,0.14142135
11298.6520000733,0.1,0.1
11308.6519998964,0.2,0.14142135
11318.6519997194,0.2,0.14142135
11328.6519995425,0.30000001,0.17320508
11338.6519999942,0.30000001,0.17320508
11348.6519998172,0.40000001,0.2
11358.6519996403,0.5,0.2236068
11368.652000092,0.1,0.1
11378.651999915,0.2,0.14142135
11388.6519997381,0.30000001,0.17320508
11398.6519995611,0.2,0.14142135
11408.6520000128,0.30000001,0.17320508
11418.6519998359,0.60000002,0.24494898
11428.6519996589,0.40000001,0.2
11438.6520001106,0.30000001,0.17320508
11448.6519999336,0.40000001,0.2
11458.6519997567,0.40000001,0.2
11468.6519995797,0.40000001,0.2
11478.6520000314,0.60000002,0.24494898
11488.6519998545,0.30000001,0.17320508
11498.6519996775,0.30000001,0.17320508
11508.6520001292,0.30000001,0.17320508
11518.6519999523,0.2,0.14142135
11528.6519997753,0.2,0.14142135
11538.6519995984,0.40000001,0.2
11548.6520000501,0.1,0.1
11558.6519998731,0.40000001,0.2
11568.6519996962,0.60000002,0.24494898
11578.6520001478,0.30000001,0.17320508
11588.6519999709,0.5,0.2236068
11598.6519997939,0.40000001,0.2
11608.651999617,0.1,0.1
11618.6520000687,0.0,0.0
11628.6519998917,0.60000002,0.24494898
11638.6519997148,0.2,0.14142135
11648.6520001665,0.2,0.14142135
11658.6519999895,0.2,0.14142135
11668.6519998126,0.2,0.14142135
11678.6519996356,0.2,0.14142135
11688.6520000873,0.30000001,0.17320508
11698.6519999104,0.2,0.14142135
11708.6519997334,0.60000002,0.24494898
11718.6519995565,0.30000001,0.17320508
11728.6520000082,0.1,0.1
11738.6519998312,0.30000001,0.17320508
11748.6519996542,0.30000001,0.17320508
11758.6519994773,0.30000001,0.17320508
11768.651999929,0.2,0.14142135
11778.651999752,0.1,0.1
11788.6519995751,0.40000001,0.2
11798.6520000268,0.30000001,0.17320508
11808.6519998498,0.30000001,0.17320508
11818.6519996729,0.1,0.1
11828.6519994959,0.0,0.0
11838.6519999476,0.30000001,0.17320508
11848.6519997707,0.40000001,0.2
11858.6519995937,0.40000001,0.2
11868.6520000454,0.40000001,0.2
11878.6519998685,0.40000001,0.2
11888.6519996915,0.40000001,0.2
11898.6519995145,0.30000001,0.17320508
11908.6519999662,0.80000001,0.2828427
11918.6519997893,0.40000001,0.2
11928.6519996123,0.2,0.14142135
11938.652000064,0.1,0.1
11948.6519998871,0.1,0.1
11958.6519997101,0.2,0.14142135
11968.6519995332,0.2,0.14142135
11978.6519999849,0.2,0.14142135
11988.6519998079,0.5,0.2236068
11998.651999631,0.2,0.14142135
12008.6520000827,0.40000001,0.2
12018.6519999057,0.0,0.0
12028.6519997288,0.2,0.14142135
12038.6519995518,0.1,0.1
12048.6520000035,1.0,0.31622776
12058.6519998265,0.30000001,0.17320508
12068.6519996496,0.1,0.1
12078.6520001013,0.2,0.14142135
12088.6519999243,0.1,0.1
12098.6519997474,0.2,0.14142135
12108.6519995704,0.2,0.14142135
16188.6519996682,0.0,0.0
16198.6520001199,0.0,0.0
16208.651999943,0.30000001,0.17320508
16218.651999766,0.30000001,0.17320508
16228.6519995891,0.2,0.14142135
16238.6520000407,0.1,0.1
16248.6519998638,0.2,0.14142135
16258.6519996868,0.5,0.2236068
16268.6520001385,0.2,0.14142135
16278.6519999616,0.30000001,0.17320508
16288.6519997846,0.2,0.14142135
16298.6519996077,0.5,0.2236068
16308.6520000594,0.30000001,0.17320508
16318.6519998824,0.5,0.2236068
16328.6519997055,0.2,0.14142135
16338.6520001572,0.40000001,0.2
16348.6519999802,0.30000001,0.17320508
16358.6519998033,0.40000001,0.2
16368.6519996263,0.0,0.0
16378.652000078,0.1,0.1
16388.651999901,0.0,0.0
16398.6519997241,0.2,0.14142135
16408.6520001758,0.5,0.2236068
16418.6519999988,0.5,0.2236068
16428.6519998219,0.0,0.0
16438.6519996449,0.2,0.14142135
16448.6520000966,0.5,0.2236068
16458.6519999197,0.2,0.14142135
16468.6519997427,0.30000001,0.17320508
16478.6519995658,0.2,0.14142135
16488.6520000175,0.40000001,0.2
16498.6519998405,0.30000001,0.17320508
16508.6519996636,0.40000001,0.2
16518.6519994866,0.40000001,0.2
16528.6519999383,0.30000001,0.17320508
16538.6519997614,0.5,0.2236068
16548.6519995844,0.5,0.2236068
16558.6520000361,0.1,0.1
16568.6519998591,0.0,0.0
16578.6519996822,0.0,0.0
16588.6519995052,0.0,0.0
16598.6519999569,0.0,0.0
16608.65199978,0.0,0.0
16618.651999603,0.0,0.0
16628.6520000547,0.1,0.1
16638.6519998778,0.1,0.1
16648.6519997008,0.1,0.1
16658.6519995239,0.40000001,0.2
16668.6519999756,0.40000001,0.2
16678.6519997986,0.2,0.14142135
16688.6519996217,0.0,0.0
16698.6520000733,0.40000001,0.2
16708.6519998964,0.1,0.1
16718.6519997194,0.5,0.2236068
16728.6519995425,0.2,0.14142135
16738.6519999942,0.30000001,0.17320508
16748.6519998172,0.40000001,0.2
16758.6519996403,0.40000001,0.2
16768.652000092,0.2,0.14142135
16778.651999915,0.1,0.1
16788.6519997381,0.2,0.14142135
16798.6519995611,0.1,0.1
16808.6520000128,0.0,0.0
16818.6519998359,0.0,0.0
16828.6519996589,0.2,0.14142135
16838.6520001106,0.1,0.1
16848.6519999336,0.1,0.1
16858.6519997567,0.2,0.14142135
16868.6519995797,0.30000001,0.17320508
16878.6520000314,0.5,0.2236068
16888.6519998545,0.40000001,0.2
16898.6519996775,0.5,0.2236068
16908.6520001292,0.2,0.14142135
16918.6519999523,0.30000001,0.17320508
16928.6519997753,0.5,0.2236068
16938.6519995984,0.0,0.0
16948.6520000501,0.40000001,0.2
16958.6519998731,0.40000001,0.2
16968.6519996962,0.60000002,0.24494898
16978.6520001478,0.5,0.2236068
16988.6519999709,0.5,0.2236068
16998.6519997939,0.30000001,0.17320508
17008.651999617,0.0,0.0
17018.6520000687,0.1,0.1
17028.6519998917,0.2,0.14142135
17038.6519997148,0.1,0.1
17048.6520001665,0.2,0.14142135
17058.6519999895,0.30000001,0.17320508
17068.6519998126,0.69999999,0.26457512
17078.6519996356,0.30000001,0.17320508
17088.6520000873,0.1,0.1
17098.6519999104,0.30000001,0.17320508
17108.6519997334,0.2,0.14142135
17118.6519995565,0.60000002,0.24494898
17128.6520000082,0.1,0.1
17138.6519998312,0.40000001,0.2
17148.6519996542,0.30000001,0.17320508
17158.6519994773,0.30000001,0.17320508
17168.651999929,0.2,0.14142135
17178.651999752,0.0,0.0
17188.6519995751,0.1,0.1
17198.6520000268,0.0,0.0
17208.6519998498,0.0,0.0
17218.6519996729,0.0,0.0
17228.6519994959,0.1,0.1
17238.6519999476,0.0,0.0
17248.6519997707,0.0,0.0
17258.6519995937,0.30000001,0.17320508
17268.6520000454,0.0,0.0
