Time,Flux,e_Flux
-1867.8139994,0.5129861962,0.0213409536
-1867.314048,0.5881352987,0.0227048906
-1866.814096,0.5520817799,0.0218675442
-1866.3141433,0.5115876726,0.0218433008
-1865.8141913,0.5166367361,0.0213032317
-1865.3142387,0.5278539123,0.0213463641
-1864.8142866,0.5546009027,0.0218798864
-1864.314334,0.5059000523,0.0216078888
-1863.8143819,0.5360930789,0.0217112076
-1863.3144306,0.5425993956,0.022052145
-1862.8144773,0.5467314536,0.0211772743
-1862.3145246,0.4734399527,0.0212507169
-1861.8145732,0.5158894207,0.0216419542
-1861.3146199,0.5102211951,0.0217626375
-1860.8146685,0.4993822328,0.0220540416
-1860.3147159,0.5197728737,0.0224505832
-1859.8147626,0.5106821129,0.0217696076
-1859.3148112,0.4633400302,0.0204155498
-1858.8148592,0.539809421,0.0217433797
-1858.3149065,0.5479713722,0.0223878117
-1857.8149539,0.5190647891,0.0216255206
-1857.3150018,0.5528635553,0.0221274288
-1856.8150498,0.5075549046,0.0220732025
-1856.3150972,0.5464846708,0.0217711793
-1855.8151451,0.574695406,0.0228673882
-1855.3151931,0.5746873293,0.0229524428
-1854.8152405,0.5674990786,0.0216942081
-1854.3152891,0.5129677223,0.0232191064
-1853.8153358,0.4942299658,0.0219602843
-1853.3153831,0.4853859494,0.0215375559
-1852.8154317,0.5382550272,0.0218910885
-1852.3154784,0.5196715292,0.0216524517
-1851.8155258,0.5069502883,0.0208949593
-1851.3155744,0.4898471541,0.021412495
-1850.8156224,0.5093131332,0.0207611157
-1850.3156697,0.470190033,0.0207513934
-1849.8157171,0.4582419348,0.0203384448
-1849.315765,0.4324753069,0.0209102827
-1848.8158124,0.5712078145,0.0226246808
-1848.3158604,0.5471402826,0.0222110634
-1847.8159083,0.502501016,0.0209879588
-1847.3159563,0.4964807527,0.0214998356
-1846.8160036,0.4867940796,0.0214172937
-1846.3160522,0.4826268307,0.0221127472
-1845.816099,0.4695730045,0.0206212774
-1845.3161463,0.4452328508,0.0218931603
-1844.8161949,0.4296616718,0.0200854985
-1844.3162416,0.4862953452,0.0208564
-1843.8162902,0.4345856889,0.0203682088
-1843.316337,0.4978436632,0.0215846455
-1842.8163856,0.4732969206,0.0216389871
